SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,LineCode,Description,2024
23000,Maine,5,"  RPPs: Services: Other",103.191
24000,Maryland,1,RPPs: All items,104.959
24000,Maryland,2,"  RPPs: Goods",102.524
24000,Maryland,3,"  RPPs: Services: Housing",121.079
24000,Maryland,4,"  RPPs: Services: Utilities",110.860
24000,Maryland,5,"  RPPs: Services: Other",101.596
25000,Massachusetts,1,RPPs: All items,105.757
25000,Massachusetts,2,"  RPPs: Goods",98.820
25000,Massachusetts,3,"  RPPs: Services: Housing",128.068
25000,Massachusetts,4,"  RPPs: Services: Utilities",152.070
25000,Massachusetts,5,"  RPPs: Services: Other",102.852
26000,Michigan,1,RPPs: All items,96.217
26000,Michigan,2,"  RPPs: Goods",95.993
26000,Michigan,3,"  RPPs: Services: Housing",82.332
26000,Michigan,4,"  RPPs: Services: Utilities",100.150
26000,Michigan,5,"  RPPs: Services: Other",100.933
27000,Minnesota,1,RPPs: All items,98.621
27000,Minnesota,2,"  RPPs: Goods",100.519
27000,Minnesota,3,"  RPPs: Services: Housing",91.281
27000,Minnesota,4,"  RPPs: Services: Utilities",90.836
27000,Minnesota,5,"  RPPs: Services: Other",100.213
28000,Mississippi,1,RPPs: All items,86.953
28000,Mississippi,2,"  RPPs: Goods",96.219
28000,Mississippi,3,"  RPPs: Services: Housing",56.456
28000,Mississippi,4,"  RPPs: Services: Utilities",78.415
28000,Mississippi,5,"  RPPs: Services: Other",96.090
29000,Missouri,1,RPPs: All items,90.817
29000,Missouri,2,"  RPPs: Goods",96.299
29000,Missouri,3,"  RPPs: Services: Housing",69.880
29000,Missouri,4,"  RPPs: Services: Utilities",79.406
29000,Missouri,5,"  RPPs: Services: Other",95.169
30000,Montana,1,RPPs: All items,94.645
30000,Montana,2,"  RPPs: Goods",96.006
30000,Montana,3,"  RPPs: Services: Housing",84.648
30000,Montana,4,"  RPPs: Services: Utilities",72.254
